method_name,seed,num_GPUs,K,n_obs,n_dim,setup_time,initialization_time,computation_time,n_iter
distributedKMeans,123128,1,15,100000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,1,15,100000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,2,15,100000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,2,15,100000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,3,15,100000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,3,15,100000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,4,15,100000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,4,15,100000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,5,15,100000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,5,15,100000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,6,15,100000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,6,15,100000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,7,15,100000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,7,15,100000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,8,15,100000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,8,15,100000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,1,12,100000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,1,12,100000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,2,12,100000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,2,12,100000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,3,12,100000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,3,12,100000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,4,12,100000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,4,12,100000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,5,12,100000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,5,12,100000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,6,12,100000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,6,12,100000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,7,12,100000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,7,12,100000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,8,12,100000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,8,12,100000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,1,9,100000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,1,9,100000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,2,9,100000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,2,9,100000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,3,9,100000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,3,9,100000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,4,9,100000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,4,9,100000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,5,9,100000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,5,9,100000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,6,9,100000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,6,9,100000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,7,9,100000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,7,9,100000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,8,9,100000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,8,9,100000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,1,6,100000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,1,6,100000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,2,6,100000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,2,6,100000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,3,6,100000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,3,6,100000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,4,6,100000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,4,6,100000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,5,6,100000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,5,6,100000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,6,6,100000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,6,6,100000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,7,6,100000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,7,6,100000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,8,6,100000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,8,6,100000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,1,3,100000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,1,3,100000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,2,3,100000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,2,3,100000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,3,3,100000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,3,3,100000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,4,3,100000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,4,3,100000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,5,3,100000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,5,3,100000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,6,3,100000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,6,3,100000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,7,3,100000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,7,3,100000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,8,3,100000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,8,3,100000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,1,15,75000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,1,15,75000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,2,15,75000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,2,15,75000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,3,15,75000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,3,15,75000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,4,15,75000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,4,15,75000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,5,15,75000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,5,15,75000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,6,15,75000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,6,15,75000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,7,15,75000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,7,15,75000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,8,15,75000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,8,15,75000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,1,12,75000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,1,12,75000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,2,12,75000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,2,12,75000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,3,12,75000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,3,12,75000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,4,12,75000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,4,12,75000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,5,12,75000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,5,12,75000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,6,12,75000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,6,12,75000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,7,12,75000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,7,12,75000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,8,12,75000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,8,12,75000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,1,9,75000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,1,9,75000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,2,9,75000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,2,9,75000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,3,9,75000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,3,9,75000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,4,9,75000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,4,9,75000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,5,9,75000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,5,9,75000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,6,9,75000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,6,9,75000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,7,9,75000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,7,9,75000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,8,9,75000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,8,9,75000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,1,6,75000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,1,6,75000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,2,6,75000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,2,6,75000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,3,6,75000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,3,6,75000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,4,6,75000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,4,6,75000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,5,6,75000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,5,6,75000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,6,6,75000000,5,InternalError,InternalError,InternalError,20
